أبو علي,
سر طاقية الإخفاء,
عفريت مراتى,
صرخة نملة,
أبناء و قتلة,
الحموات الفاتنات,
نادي الرجال السري,
بلبل حيران,
لص بغداد,
الحفيد,
صغيرة على الحب,
بنك الحظ,
الباشا تلميذ,
قصة حب,
الإرهابي,
جريمة في الحي الهادي,
الضيف,
قاتل ما قتلش حد,
أبو شنب,
الناظر,
كراكون في الشارع,
فاصل و نعود,
فزاع,
ياباني أصلي,
أسوار القمر,
دائرة الانتقام,
زنقة الستات,
جواب اعتقال,
العار,
همام في أمستردام,
خارج الخدمة,
ممنوع الإقتراب أو التصوير,
طباخ الريس,
هروب اضطراري,
يا تهدي يا تعدي,
حملة فريزر,
مع سبق الإصرار,
الشيخ جاكسون,
بابارتزي,
اشتباك,
آخر ديك في مصر,
الكويسين,
عندليب الدقي,
عريس من جهة أمنية,
سطو مثلث,
الخروج عن النص,
أمير البحار,
صعيدي في الجامعة الأمريكية,
دبة كل يوم,
الديكتاتور,
ابن حميدو,
الرجل الغامض بسلامته,
فوتوكوبي,
الفيل الأزرق,
الخلية,
الثعلب والعنب,
حماتي ملاك,
ألف مبروك,
يوم و ليلة,
قدرات غير عادية,
أمير الظلام,
وش إجرام,
طير أنت,
جعلتني مجرما,
السفارة في العمارة,
جاءنا البيان التالي,
البحث عن فضيحة,
قصاقيص العشاق,
فتاة تبحث عن الحب,
بشتري راجل,
مين فينا الحرامي,
التجربة الدنماركية,
في الهوا سوا,
الكنز,
لا تراجع ولا استسلام,
قلب أمه,
الحب هو الثمن,
تراب الماس,
أفريكانو,
جوازة ميري,
يوم مالوش لازمة,
فص ملح و داخ,
صاحب صاحبه,
القرموطي في أرض النار,
الظالم والمظلوم,
جحيم في الهند,
الخطايا,
آسف على الإزعاج,
عليش دخل الجيش,
القرد يتكلم,
صاحب المقام,
مطاردة غرامية,
حياة عازب,
اللي اختشوا ماتوا,
وش إجرام,
الهروب إلى القمة,
عسكر في المعسكر,
محامي خلع,
حب البنات,
الممر,
لف و دوران,
البعض لا يذهب للمأذون مرتين,
سكر هانم,
مطب صناعي,
زقاق المدق,
رجال في العاصفة,
فول الصين العظيم,
الرهينة,
قبل زحمة الصيف,
الرسالة,
أنا المجنون,
الكيف,
وداع في الفجر,
أسماء,
لغة الحب,
الأرض,
كيت كات,
دعاء الكروان,
البريء,
خالد ابن الوليد,
تراب الماس,
المومياء,
أرض الخوف,
إشاعة حب,
بداية ونهاية,
أرض النفاق,
فارس المدينة,
عسل أسود,
باب الحديد,
الجزيرة,
الخائنة,
كرسي الاعتراف,
البدلة,
هيبتا,
صراع في الوادي,
زوجة رجل مهم,
الزوجة الثانية,
العار,
شيء من الخوف,
شحاتين ونبلاء,
سرقات صيفيه,
لن أعترف,
اشتباك,
الإرهاب والكباب,
باب الشمس,
عرق البلح,
ثرثره فوق النيل,
بين الأطلال,
عمارة يعقوبيان,
لحن الخلود,
غزل البنات,
الهروب,
أبو حلموس,
ولاد رزق,
ولاد العم,
كده رضا,
رسائل البحر,
عودة الإبن الضال,
أيوب,
ايام السادات,
البيضاء والحجر,
الأستاذة فاطمة,
ي عمر,
النداهة,
الضحية,
في العشق والسفر,
إسكندرية ليه,
فتاة المصنع,
نوارة,
ميكروفون,
في شقة مصر الجديدة,
في بيت رجل,
ابن النيل,
ضد الحكومة,
أم العروسة,
البداية,
المماليك,
عيلة زيزي,
الباب المفتوح,
ديكور,
فجر يوم جديد,
لعبة الست,
خرج ولم يعد,
طريق الأمل,
حسن ومرقص,
الحب الخالد,
الطريق المسدود,
امرأة على الهامش,
المكيدة,
المواطن مصري,
جري الوحوش,
